k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fp,cost_fn,maintenance_threshold
1.65,1057,2168,7035,35,0.03205128205128205,0.23557535586221884,3918.0,0.38057309373482273,FD002,1.0,50,20
1.7,1061,2292,6911,31,0.028388278388278388,0.24904922307943061,3842.0,0.3731908693540554,FD002,1.0,50,20
1.75,1062,2423,6780,30,0.027472527472527472,0.2632837118330979,3923.0,0.38105876639145214,FD002,1.0,50,20
1.8,1066,2538,6665,26,0.023809523809523808,0.2757796370748669,3838.0,0.37280233122875184,FD002,1.0,50,20
1.85,1067,2690,6513,25,0.022893772893772892,0.29229599043790067,3940.0,0.3827100534239922,FD002,1.0,50,20
1.9,1067,2794,6409,25,0.022893772893772892,0.3035966532652396,4044.0,0.3928120446818844,FD002,1.0,50,20
1.95,1069,2910,6293,23,0.021062271062271064,0.31620123872650224,4060.0,0.39436619718309857,FD002,1.0,50,20
2.0,1071,3035,6168,21,0.019230769230769232,0.32978376616320765,4085.0,0.3967945604662457,FD002,1.0,50,20
0.0,537,152,9051,555,0.5082417582417582,0.016516353363033795,55652.0,5.405730937348228,FD002,1.0,100,20
0.05,557,164,9039,535,0.4899267399267399,0.017820275996957513,53664.0,5.212627489072365,FD002,1.0,100,20
0.1,580,191,9012,512,0.46886446886446886,0.020754101923285886,51391.0,4.991840699368626,FD002,1.0,100,20
0.15,601,205,8998,491,0.44963369963369965,0.02227534499619689,49305.0,4.789218067022826,FD002,1.0,100,20
0.2,615,219,8984,477,0.4368131868131868,0.0237965880691079,47919.0,4.654589606605148,FD002,1.0,100,20
0.25,640,240,8963,452,0.4139194139194139,0.02607845267847441,45440.0,4.413793103448276,FD002,1.0,100,20
0.3,663,261,8942,429,0.39285714285714285,0.02836031728784092,43161.0,4.1924235065565805,FD002,1.0,100,20
0.35,688,280,8923,404,0.36996336996337,0.030424861458220147,40680.0,3.951432734337057,FD002,1.0,100,20
0.4,710,304,8899,382,0.3498168498168498,0.03303270672606759,38504.0,3.740067994171928,FD002,1.0,100,20
