k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fn,cost_fp,split_used_for_k_selection
2.15,420,1168,2648,0,0.0,0.3060796645702306,1168.0,0.2757318224740321,FD001,5,1.0,calibration
2.2,420,1214,2602,0,0.0,0.31813417190775684,1214.0,0.2865911237016053,FD001,5,1.0,calibration
2.25,420,1270,2546,0,0.0,0.3328092243186583,1270.0,0.29981114258734654,FD001,5,1.0,calibration
2.3,420,1320,2496,0,0.0,0.34591194968553457,1320.0,0.311614730878187,FD001,5,1.0,calibration
2.35,420,1376,2440,0,0.0,0.36058700209643607,1376.0,0.32483474976392823,FD001,5,1.0,calibration
2.4,420,1431,2385,0,0.0,0.375,1431.0,0.3378186968838527,FD001,5,1.0,calibration
2.45,420,1485,2331,0,0.0,0.3891509433962264,1485.0,0.35056657223796034,FD001,5,1.0,calibration
2.5,420,1541,2275,0,0.0,0.40382599580712786,1541.0,0.3637865911237016,FD001,5,1.0,calibration
2.55,420,1598,2218,0,0.0,0.4187631027253669,1598.0,0.37724268177525966,FD001,5,1.0,calibration
2.6,420,1658,2158,0,0.0,0.43448637316561844,1658.0,0.3914069877242682,FD001,5,1.0,calibration
2.65,420,1717,2099,0,0.0,0.4499475890985325,1717.0,0.40533522190745985,FD001,5,1.0,calibration
2.7,420,1779,2037,0,0.0,0.4661949685534591,1779.0,0.419971671388102,FD001,5,1.0,calibration
2.75,420,1843,1973,0,0.0,0.4829664570230608,1843.0,0.4350802644003777,FD001,5,1.0,calibration
2.8,420,1902,1914,0,0.0,0.49842767295597484,1902.0,0.4490084985835694,FD001,5,1.0,calibration
2.85,420,1946,1870,0,0.0,0.509958071278826,1946.0,0.45939565627950896,FD001,5,1.0,calibration
2.9,420,2008,1808,0,0.0,0.5262054507337526,2008.0,0.4740321057601511,FD001,5,1.0,calibration
2.95,420,2062,1754,0,0.0,0.540356394129979,2062.0,0.48677998111425874,FD001,5,1.0,calibration
3.0,420,2109,1707,0,0.0,0.5526729559748428,2109.0,0.4978753541076487,FD001,5,1.0,calibration
0.0,368,58,3758,52,0.12380952380952381,0.01519916142557652,578.0,0.1364494806421152,FD001,10,1.0,calibration
0.05,372,63,3753,48,0.11428571428571428,0.01650943396226415,543.0,0.1281869688385269,FD001,10,1.0,calibration
0.1,373,68,3748,47,0.11190476190476191,0.01781970649895178,538.0,0.12700661000944288,FD001,10,1.0,calibration
0.15,375,78,3738,45,0.10714285714285714,0.020440251572327043,528.0,0.12464589235127478,FD001,10,1.0,calibration
0.2,377,85,3731,43,0.10238095238095238,0.022274633123689727,515.0,0.12157695939565628,FD001,10,1.0,calibration
